"step","~{INTA}","~{CPU_INT}","UP","DOWN","LEFT","RIGHT","4","5","6","7","INTNO","intno","~{M1}","T","IFF"
"0","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"1","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"2","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"3","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"4","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"5","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"6","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"7","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"8","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"9","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"10","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"11","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"12","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"13","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"14","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"15","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"16","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"17","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"18","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"19","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"20","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"21","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"22","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"23","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"24","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"25","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"26","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"27","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"28","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"29","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"30","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"31","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"32","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"33","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"34","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"35","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"36","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"37","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"38","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"39","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"40","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"41","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"42","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"43","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"44","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"45","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"46","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"47","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"48","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"49","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"50","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"51","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"52","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"53","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"54","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"55","0","1","0","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"56","0","1","0","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"57","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"58","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"59","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"60","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"61","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"62","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"63","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"64","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"65","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"66","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"67","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"68","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"69","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"70","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"71","0","1","0","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"72","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"73","0","1","0","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"74","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"75","0","1","0","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"76","0","1","0","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"77","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"78","0","1","0","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"79","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"80","0","1","0","1","1","1","1","1","1","1","0x5","Z","0","0","0"
"81","0","1","0","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"82","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"83","0","1","0","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"84","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"85","0","1","0","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"86","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"87","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"88","0","1","0","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"89","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"90","0","1","0","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"91","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"92","0","1","0","1","1","1","1","1","1","1","0x5","Z","0","1","0"
"93","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"94","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"95","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"96","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"97","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"98","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"99","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"100","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"101","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"102","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"103","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"104","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"105","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","2","0"
"106","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"107","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"108","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"109","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"110","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"111","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"112","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"113","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"114","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"115","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"116","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"117","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"118","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"119","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"120","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"121","0","0","1","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"122","0","1","0","1","1","1","1","1","1","1","0x5","Z","1","3","0"
"123","0","1","0","1","1","1","1","1","1","1","0x5","Z","0","0","1"
"124","0","0","1","1","1","1","1","1","1","1","0x5","Z","0","0","1"
"125","0","1","0","1","1","1","1","1","1","1","0x5","Z","0","0","1"
